"date","term","rate"
2021 Apr,24,0.165526242112764
2021 May,24,0.18
2021 Jun,24,0.17
2021 Jul,24,0.17
2021 Aug,24,0.17
2021 Sep,24,0.17
2021 Oct,24,0.17
2021 Nov,24,0.17
2021 Dec,24,0.17
2022 Jan,24,0.17
2022 Feb,24,0.18
2022 Mar,24,0.19
2022 Apr,24,0.22
2022 May,24,0.27
2022 Jun,24,0.34
2022 Jul,24,0.43
2022 Aug,24,0.51
2022 Sep,24,0.64
2022 Oct,24,0.77
2022 Nov,24,0.91
2022 Dec,24,1.06
2023 Jan,24,1.21
2023 Feb,24,1.28
2023 Mar,24,1.41
2023 Apr,24,1.43
2023 May,24,1.45
2023 Jun,24,1.45
2023 Jul,24,1.47
2023 Aug,24,1.5
2023 Sep,24,1.51
2023 Oct,24,1.5
2023 Nov,24,1.55
2023 Dec,24,1.57
2024 Jan,24,1.57
2024 Feb,24,1.54
2024 Mar,24,1.53
2024 Apr,24,1.54
2024 May,24,1.54
2024 Jun,24,1.57
2024 Jul,24,1.58
2024 Aug,24,1.58
2024 Sep,24,1.55
2024 Oct,24,1.48
2024 Nov,24,1.52
2024 Dec,24,1.52
2025 Jan,24,1.45
2025 Feb,24,1.45
2025 Mar,24,1.49
2025 Apr,24,1.49
2025 May,24,1.48
2025 Jun,24,1.46
2025 Jul,24,1.47
2025 Aug,24,1.47
2025 Sep,24,1.46
2025 Oct,24,1.44
2025 Nov,24,1.42
2025 Dec,24,1.41
2026 Jan,24,1.41
2026 Feb,24,1.4
2026 Mar,24,1.49
2026 Apr,24,1.51
2026 May,24,1.5
2026 Jun,24,1.53
